Symbol,Price_Increase_Percentage,Screeners,IBD_RSI,RSI_12M,Nr_Of_Spikes,Volume-Acceleration(%),RSI_3M,RSI_6M,MVP_Last_6Mo,Price_Tightness_1W
KMI,67.18003186404675,5,82,93.27731092436974,,,77.16894977168955,88.69731800766283,,4.55026455026456
NPSNY,66.41666666666666,6,87,89.43472409152086,1,,84.96732026143788,89.43472409152086,,3.247082699137496
FDP,66.1328308996703,6,84,91.08280254777068,,50.18,91.08280254777068,91.08280254777068,,4.12844036697249
ISBA,64.95726495726495,5,88,100.0,,,88.8349514563108,88.8349514563108,,14.00696864111498
PRDO,63.667820069204154,6,90,98.434004474273,1,,89.10550458715596,89.10550458715596,,8.57746904258532
ISNPY,62.51076033348713,6,88,92.00913242009136,,52.27,92.00913242009136,92.00913242009136,,4.710814814814815
ALIZY,62.22641509433963,6,86,92.8104575163399,,73.23,90.29585798816575,90.29585798816575,,2.449999999999992
SSREY,61.689655172413794,5,85,99.10394265232974,,,80.0166527893422,83.72641509433966,,2.5578291814946583
TXNM,61.10798650168727,6,87,92.08633093525184,,103.27,83.70253164556961,85.96750369276222,,1.6264428121720877
CFRUY,61.10260336906583,5,78,93.12267657992564,,,82.57142857142858,93.12267657992564,,5.390428211586903
RGLD,60.19044437019713,6,86,96.3267543859649,,65.38,91.54481881754619,91.54481881754619,,3.4949639495844536
CAAP,58.43179377013964,5,83,88.78281622911693,,,82.98319327731095,82.98319327731095,,9.926806953339424
BHKLY,58.19878005023323,5,89,79.19725893294176,,,79.19725893294176,79.19725893294176,,3.2206849625765517
SIEGY,57.6636087235668,6,84,86.68197474167626,,63.68,82.34735843087631,84.27707531610776,,5.651146245059293
SSBK,57.585513078470804,7,76,94.8626045400239,1,149.11,83.98203592814363,83.98203592814363,,4.154969118472759
MCK,57.404018001335025,5,83,92.33545647558384,,,92.27053140096614,92.27053140096614,,1.8128395609269221
NC,57.40373163953949,6,81,87.218045112782,1,,73.03988995873458,86.48648648648651,,6.956521739130436
NFG,57.26947011125778,5,88,91.82222222222221,,,87.0772946859904,91.82222222222221,,4.232613908872903
HSBC,57.01598579040854,5,83,86.18376928236086,,,86.18376928236086,86.18376928236086,,2.7076411960132933
GCMG,56.54054054054054,6,72,94.44444444444444,,90.46,71.83098591549302,87.02290076335878,,6.356589147286824
